id,name,platforms,desc
T1106,Native API,"Windows, macOS, Linux",Adversaries may interact with the native OS application programming interface (API) to execute behaviors. Native APIs provide a controlled means of calling low-level OS services…
T1558.005,Ccache Files,"Linux, macOS",Adversaries may attempt to steal Kerberos tickets stored in credential cache files (or ccache). These files are used for short term storage of a user's active session credentials.…
T1070.007,Clear Network Connection History and Configurations,"Linux, macOS, Windows, Network Devices",Adversaries may clear or remove evidence of malicious network connections in order to clean up traces of their operations. Configuration settings as well as various artifacts that…
T1558.004,AS-REP Roasting,Windows,Adversaries may reveal credentials of accounts that have disabled Kerberos preauthentication by [Password Cracking](https://attack.mitre.org/techniques/T1110/002) Kerberos…
T1584.003,Virtual Private Server,PRE,Adversaries may compromise third-party Virtual Private Servers (VPSs) that can be used during targeting. There exist a variety of cloud service providers that will sell virtual…
T1059.010,AutoHotKey & AutoIT,Windows,Adversaries may execute commands and perform malicious tasks using AutoIT and AutoHotKey automation scripts. AutoIT and AutoHotkey (AHK) are scripting languages that enable users…
T1600.001,Reduce Key Space,Network Devices,Adversaries may reduce the level of effort required to decrypt data transmitted over the network by reducing the cipher strength of encrypted communications.(Citation: Cisco…
T1070.003,Clear Command History,"Linux, macOS, Windows, Network Devices, ESXi","In addition to clearing system logs, an adversary may clear the command history of a compromised account to conceal the actions undertaken during an intrusion. Various command…"
T1202,Indirect Command Execution,Windows,Adversaries may abuse utilities that allow for command execution to bypass security restrictions that limit the use of command-line interpreters. Various Windows utilities may be…
T1091,Replication Through Removable Media,Windows,"Adversaries may move onto systems, possibly those on disconnected or air-gapped networks, by copying malware to removable media and taking advantage of Autorun features when the…"
T1005,Data from Local System,"Linux, macOS, Windows, Network Devices, ESXi","Adversaries may search local system sources, such as file systems, configuration files, local databases, or virtual machine files, to find files of interest and sensitive data…"
T1140,Deobfuscate/Decode Files or Information,"ESXi, Linux, Windows, macOS",Adversaries may use [Obfuscated Files or Information](https://attack.mitre.org/techniques/T1027) to hide artifacts of an intrusion from analysis. They may require separate…
T1137.005,Outlook Rules,"Windows, Office Suite",Adversaries may abuse Microsoft Outlook rules to obtain persistence on a compromised system. Outlook rules allow a user to define automated behavior to manage email messages. A…
T1562,Impair Defenses,"Windows, IaaS, Linux, macOS, Containers, Network Devices, Identity Provider, Office Suite, ESXi","Adversaries may maliciously modify components of a victim environment in order to hinder or disable defensive mechanisms. This not only involves impairing preventative defenses,…"
T1586.003,Cloud Accounts,PRE,"Adversaries may compromise cloud accounts that can be used during targeting. Adversaries can use compromised cloud accounts to further their operations, including leveraging cloud…"
T1586.002,Email Accounts,PRE,"Adversaries may compromise email accounts that can be used during targeting. Adversaries can use compromised email accounts to further their operations, such as leveraging them to…"
T1098.007,Additional Local or Domain Groups,"Windows, macOS, Linux","An adversary may add additional local or domain groups to an adversary-controlled account to maintain persistent access to a system or domain. On Windows, accounts may use the…"
T1608.001,Upload Malware,PRE,"Adversaries may upload malware to third-party or adversary controlled infrastructure to make it accessible during targeting. Malicious software can include payloads, droppers,…"
T1195,Supply Chain Compromise,"Linux, Windows, macOS",Adversaries may manipulate products or product delivery mechanisms prior to receipt by a final consumer for the purpose of data or system compromise. Supply chain compromise can…
T1190,Exploit Public-Facing Application,"Containers, IaaS, Linux, Network Devices, Windows, macOS, ESXi","Adversaries may attempt to exploit a weakness in an Internet-facing host or system to initially access a network. The weakness in the system can be a software bug, a temporary…"
T1558,Steal or Forge Kerberos Tickets,"Windows, Linux, macOS",Adversaries may attempt to subvert Kerberos authentication by stealing or forging Kerberos tickets to enable [Pass the Ticket](https://attack.mitre.org/techniques/T1550/003).…
T1555,Credentials from Password Stores,"Linux, macOS, Windows, IaaS","Adversaries may search for common password storage locations to obtain user credentials.(Citation: F-Secure The Dukes) Passwords are stored in several places on a system,…"
T1567,Exfiltration Over Web Service,"Linux, Office Suite, SaaS, Windows, macOS, ESXi","Adversaries may use an existing, legitimate external Web service to exfiltrate data rather than their primary command and control channel. Popular Web services acting as an…"
T1219,Remote Access Tools,"Linux, Windows, macOS",An adversary may use legitimate remote access tools to establish an interactive command and control channel within a network. Remote access tools create a session between two…
T1583.001,Domains,PRE,"Adversaries may acquire domains that can be used during targeting. Domain names are the human readable names used to represent one or more IP addresses. They can be purchased or,…"
T1560.002,Archive via Library,"Linux, macOS, Windows","An adversary may compress or encrypt data that is collected prior to exfiltration using 3rd party libraries. Many libraries exist that can archive data, including…"
T1055.003,Thread Execution Hijacking,Windows,Adversaries may inject malicious code into hijacked processes in order to evade process-based defenses as well as possibly elevate privileges. Thread Execution Hijacking is a…
T1036,Masquerading,"Linux, macOS, Windows, Containers, ESXi",Adversaries may attempt to manipulate features of their artifacts to make them appear legitimate or benign to users and/or security tools. Masquerading occurs when the name or…
T1546.011,Application Shimming,Windows,Adversaries may establish persistence and/or elevate privileges by executing malicious content triggered by application shims. The Microsoft Windows Application Compatibility…
T1552,Unsecured Credentials,"Windows, SaaS, IaaS, Linux, macOS, Containers, Network Devices, Office Suite, Identity Provider","Adversaries may search compromised systems to find and obtain insecurely stored credentials. These credentials can be stored and/or misplaced in many locations on a system,…"
T1547.010,Port Monitors,Windows,Adversaries may use port monitors to run an adversary supplied DLL during system boot for persistence or privilege escalation. A port monitor can be set through the…
T1070.008,Clear Mailbox Data,"Linux, macOS, Windows, Office Suite",Adversaries may modify mail and mail application data to remove evidence of their activity. Email applications allow users and other programs to export and delete mailbox data via…
T1037.002,Login Hook,macOS,Adversaries may use a Login Hook to establish persistence executed upon user logon. A login hook is a plist file that points to a specific script to execute with root privileges…
T1659,Content Injection,"Linux, macOS, Windows",Adversaries may gain access and continuously communicate with victims by injecting malicious content into systems through online network traffic. Rather than luring victims to…
T1055,Process Injection,"Linux, macOS, Windows",Adversaries may inject code into processes in order to evade process-based defenses as well as possibly elevate privileges. Process injection is a method of executing arbitrary…
T1567.004,Exfiltration Over Webhook,"Windows, macOS, Linux, SaaS, Office Suite, ESXi",Adversaries may exfiltrate data to a webhook endpoint rather than over their primary command and control channel. Webhooks are simple mechanisms for allowing a server to push data…
T1205,Traffic Signaling,"Linux, macOS, Windows, Network Devices",Adversaries may use traffic signaling to hide open ports or other malicious functionality used for persistence or command and control. Traffic signaling involves the use of a…
T1021.008,Direct Cloud VM Connections,IaaS,Adversaries may leverage [Valid Accounts](https://attack.mitre.org/techniques/T1078) to log directly into accessible cloud hosted compute infrastructure through cloud native…
T1218,System Binary Proxy Execution,"Windows, Linux, macOS","Adversaries may bypass process and/or signature-based defenses by proxying execution of malicious content with signed, or otherwise trusted, binaries. Binaries used in this…"
T1070.006,Timestomp,"Linux, macOS, Windows, ESXi","Adversaries may modify file time attributes to hide new files or changes to existing files. Timestomping is a technique that modifies the timestamps of a file (the modify, access,…"
T1557.004,Evil Twin,Network Devices,Adversaries may host seemingly genuine Wi-Fi access points to deceive users into connecting to malicious networks as a way of supporting follow-on behaviors such as [Network…
T1620,Reflective Code Loading,"macOS, Linux, Windows",Adversaries may reflectively load code into a process in order to conceal the execution of malicious payloads. Reflective loading involves allocating then executing payloads…
T1016.002,Wi-Fi Discovery,"Linux, Windows, macOS","Adversaries may search for information about Wi-Fi networks, such as network names and passwords, on compromised systems. Adversaries may use Wi-Fi information as part of [Account…"
T1480.002,Mutual Exclusion,"Windows, Linux, macOS",Adversaries may constrain execution or actions based on the presence of a mutex associated with malware. A mutex is a locking mechanism used to synchronize access to a resource.…
T1564.011,Ignore Process Interrupts,"Linux, macOS, Windows",Adversaries may evade defensive mechanisms by executing commands that hide from process interrupt signals. Many operating systems use signals to deliver messages to control…
T1611,Escape to Host,"Windows, Linux, Containers, ESXi",Adversaries may break out of a container or virtualized environment to gain access to the underlying host. This can allow an adversary access to other containerized or virtualized…
T1547.009,Shortcut Modification,Windows,Adversaries may create or modify shortcuts that can execute a program during system boot or user login. Shortcuts or symbolic links are used to reference other files or programs…
T1010,Application Window Discovery,"macOS, Windows, Linux",Adversaries may attempt to get a listing of open application windows. Window listings could convey information about how the system is used.(Citation: Prevailion DarkWatchman…
T1569.003,Systemctl,Linux,"Adversaries may abuse systemctl to execute commands or programs. Systemctl is the primary interface for systemd, the Linux init system and service manager. Typically invoked from…"
T1087.003,Email Account,"Windows, Office Suite",Adversaries may attempt to get a listing of email addresses and accounts. Adversaries may try to dump Exchange address lists such as global address lists (GALs).(Citation:…
T1497.003,Time Based Evasion,"Linux, macOS, Windows","Adversaries may employ various time-based methods to detect and avoid virtualization and analysis environments. This may include enumerating time-based properties, such as uptime…"
T1218.003,CMSTP,Windows,Adversaries may abuse CMSTP to proxy execution of malicious code. The Microsoft Connection Manager Profile Installer (CMSTP.exe) is a command-line program used to install…
T1563.001,SSH Hijacking,"Linux, macOS",Adversaries may hijack a legitimate user's SSH session to move laterally within an environment. Secure Shell (SSH) is a standard means of remote access on Linux and macOS systems.…
T1562.002,Disable Windows Event Logging,Windows,Adversaries may disable Windows event logging to limit data that can be leveraged for detections and audits. Windows event logs record user and system activity such as login…
T1029,Scheduled Transfer,"Linux, macOS, Windows",Adversaries may schedule data exfiltration to be performed only at certain times of day or at certain intervals. This could be done to blend traffic patterns with normal activity…
T1021.002,SMB/Windows Admin Shares,Windows,Adversaries may use [Valid Accounts](https://attack.mitre.org/techniques/T1078) to interact with a remote network share using Server Message Block (SMB). The adversary may then…
T1525,Implant Internal Image,"IaaS, Containers",Adversaries may implant cloud or container images with malicious code to establish persistence after gaining access to an environment. Amazon Web Services (AWS) Amazon Machine…
T1572,Protocol Tunneling,"Linux, macOS, Windows, ESXi",Adversaries may tunnel network communications to and from a victim system within a separate protocol to avoid detection/network filtering and/or enable access to otherwise…
T1218.002,Control Panel,Windows,"Adversaries may abuse control.exe to proxy execution of malicious payloads. The Windows Control Panel process binary (control.exe) handles execution of Control Panel items, which…"
T1599.001,Network Address Translation Traversal,Network Devices,Adversaries may bridge network boundaries by modifying a network device’s Network Address Translation (NAT) configuration. Malicious modifications to NAT may enable an adversary…
T1608.002,Upload Tool,PRE,"Adversaries may upload tools to third-party or adversary controlled infrastructure to make it accessible during targeting. Tools can be open or closed source, free or commercial.…"
T1547.005,Security Support Provider,Windows,Adversaries may abuse security support providers (SSPs) to execute DLLs when the system boots. Windows SSP DLLs are loaded into the Local Security Authority (LSA) process at…
T1036.011,Overwrite Process Arguments,Linux,"Adversaries may modify a process's in-memory arguments to change its name in order to appear as a legitimate or benign process. On Linux, the operating system stores command-line…"
T1550,Use Alternate Authentication Material,"Windows, SaaS, IaaS, Containers, Identity Provider, Office Suite, Linux","Adversaries may use alternate authentication material, such as password hashes, Kerberos tickets, and application access tokens, in order to move laterally within an environment…"
T1597.001,Threat Intel Vendors,PRE,Adversaries may search private data from threat intelligence vendors for information that can be used during targeting. Threat intelligence vendors may offer paid feeds or portals…
T1011,Exfiltration Over Other Network Medium,"Linux, macOS, Windows","Adversaries may attempt to exfiltrate data over a different network medium than the command and control channel. If the command and control network is a wired Internet connection,…"
T1602.002,Network Device Configuration Dump,Network Devices,Adversaries may access network configuration files to collect sensitive data about the device and the network. The network configuration is a file containing parameters that…
T1589,Gather Victim Identity Information,PRE,"Adversaries may gather information about the victim's identity that can be used during targeting. Information about identities may include a variety of details, including personal…"
T1562.004,Disable or Modify System Firewall,"Linux, Network Devices, Windows, macOS, ESXi","Adversaries may disable or modify system firewalls in order to bypass controls limiting network usage. Changes could be disabling the entire mechanism as well as adding, deleting,…"
T1560,Archive Collected Data,"Linux, macOS, Windows",An adversary may compress and/or encrypt data that is collected prior to exfiltration. Compressing the data can help to obfuscate the collected data and minimize the amount of…
T1553.003,SIP and Trust Provider Hijacking,Windows,Adversaries may tamper with SIP and trust provider components to mislead the operating system and application control tools when conducting signature validation checks. In user…
T1185,Browser Session Hijacking,Windows,"Adversaries may take advantage of security vulnerabilities and inherent functionality in browser software to change content, modify user-behaviors, and intercept information as…"
T1021,Remote Services,"Linux, macOS, Windows, IaaS, ESXi","Adversaries may use [Valid Accounts](https://attack.mitre.org/techniques/T1078) to log into a service that accepts remote connections, such as telnet, SSH, and VNC. The adversary…"
T1071.003,Mail Protocols,"Linux, macOS, Windows, Network Devices",Adversaries may communicate using application layer protocols associated with electronic mail delivery to avoid detection/network filtering by blending in with existing traffic.…
T1556.007,Hybrid Identity,"Windows, SaaS, IaaS, Office Suite, Identity Provider","Adversaries may patch, modify, or otherwise backdoor cloud authentication processes that are tied to on-premises user identities in order to bypass typical authentication…"
T1595.002,Vulnerability Scanning,PRE,Adversaries may scan victims for vulnerabilities that can be used during targeting. Vulnerability scans typically check if the configuration of a target host/application (ex:…
T1059.009,Cloud API,"IaaS, SaaS, Office Suite, Identity Provider",Adversaries may abuse cloud APIs to execute malicious commands. APIs available in cloud environments provide various functionalities and are a feature-rich method for programmatic…
T1596,Search Open Technical Databases,PRE,Adversaries may search freely available technical databases for information about victims that can be used during targeting. Information about victims may be available in online…
T1218.015,Electron Applications,"macOS, Windows, Linux","Adversaries may abuse components of the Electron framework to execute malicious code. The Electron framework hosts many common applications such as Signal, Slack, and Microsoft…"
T1562.012,Disable or Modify Linux Audit System,Linux,Adversaries may disable or modify the Linux audit system to hide malicious activity and avoid detection. Linux admins use the Linux Audit system to track security-relevant…
T1207,Rogue Domain Controller,Windows,Adversaries may register a rogue Domain Controller to enable manipulation of Active Directory data. DCShadow may be used to create a rogue Domain Controller (DC). DCShadow is a…
T1553.006,Code Signing Policy Modification,"Windows, macOS",Adversaries may modify code signing policies to enable execution of unsigned or self-signed code. Code signing provides a level of authenticity on a program from a developer and a…
T1610,Deploy Container,Containers,"Adversaries may deploy a container into an environment to facilitate execution or evade defenses. In some cases, adversaries may deploy a new container to execute processes…"
T1112,Modify Registry,Windows,"Adversaries may interact with the Windows Registry as part of a variety of other techniques to aid in defense evasion, persistence, and execution. Access to specific areas of the…"
T1543.004,Launch Daemon,macOS,"Adversaries may create or modify Launch Daemons to execute malicious payloads as part of persistence. Launch Daemons are plist files used to interact with Launchd, the service…"
T1580,Cloud Infrastructure Discovery,IaaS,An adversary may attempt to discover infrastructure and resources that are available within an infrastructure-as-a-service (IaaS) environment. This includes compute service…
T1555.003,Credentials from Web Browsers,"Linux, macOS, Windows",Adversaries may acquire credentials from web browsers by reading files specific to the target browser.(Citation: Talos Olympic Destroyer 2018) Web browsers commonly save…
T1574.008,Path Interception by Search Order Hijacking,Windows,Adversaries may execute their own malicious payloads by hijacking the search order used to load other programs. Because some programs do not call other programs using the full…
T1491,Defacement,"Windows, IaaS, Linux, macOS, ESXi","Adversaries may modify visual content available internally or externally to an enterprise network, thus affecting the integrity of the original content. Reasons for…"
T1535,Unused/Unsupported Cloud Regions,IaaS,Adversaries may create cloud instances in unused geographic service regions in order to evade detection. Access is usually obtained through compromising accounts used to manage…
T1557.003,DHCP Spoofing,"Linux, Windows, macOS",Adversaries may redirect network traffic to adversary-owned systems by spoofing Dynamic Host Configuration Protocol (DHCP) traffic and acting as a malicious DHCP server on the…
T1563,Remote Service Session Hijacking,"Linux, macOS, Windows",Adversaries may take control of preexisting sessions with remote services to move laterally in an environment. Users may use valid credentials to log into a service specifically…
T1564.013,Bind Mounts,Linux,Adversaries may abuse bind mounts on file structures to hide their activity and artifacts from native utilities. A bind mount maps a directory or file from one location on the…
T1027.001,Binary Padding,"Linux, macOS, Windows","Adversaries may use binary padding to add junk data and change the on-disk representation of malware. This can be done without affecting the functionality or behavior of a binary,…"
T1505.003,Web Shell,"Linux, Windows, macOS, Network Devices",Adversaries may backdoor web servers with web shells to establish persistent access to systems. A Web shell is a Web script that is placed on an openly accessible Web server to…
T1484.001,Group Policy Modification,Windows,"Adversaries may modify Group Policy Objects (GPOs) to subvert the intended discretionary access controls for a domain, usually with the intention of escalating privileges on the…"
T1217,Browser Information Discovery,"Linux, Windows, macOS","Adversaries may enumerate information about browsers to learn more about compromised environments. Data saved by browsers (such as bookmarks, accounts, and browsing history) may…"
T1552.004,Private Keys,"Linux, macOS, Windows, Network Devices",Adversaries may search for private key certificate files on compromised systems for insecurely stored credentials. Private cryptographic keys and certificates are used for…
T1583.004,Server,PRE,"Adversaries may buy, lease, rent, or obtain physical servers that can be used during targeting. Use of servers allows an adversary to stage, launch, and execute an operation.…"
T1021.006,Windows Remote Management,Windows,Adversaries may use [Valid Accounts](https://attack.mitre.org/techniques/T1078) to interact with remote systems using Windows Remote Management (WinRM). The adversary may then…
T1011.001,Exfiltration Over Bluetooth,"Linux, macOS, Windows","Adversaries may attempt to exfiltrate data over Bluetooth rather than the command and control channel. If the command and control network is a wired Internet connection, an…"
T1078.001,Default Accounts,"Windows, SaaS, IaaS, Linux, macOS, Containers, Network Devices, Office Suite, Identity Provider, ESXi","Adversaries may obtain and abuse credentials of a default account as a means of gaining Initial Access, Persistence, Privilege Escalation, or Defense Evasion. Default accounts are…"
T1547.003,Time Providers,Windows,Adversaries may abuse time providers to execute DLLs when the system boots. The Windows Time service (W32Time) enables time synchronization across and within domains.(Citation:…
T1546.005,Trap,"macOS, Linux",Adversaries may establish persistence by executing malicious content triggered by an interrupt signal. The <code>trap</code> command allows programs and shells to specify commands…
T1574.006,Dynamic Linker Hijacking,"Linux, macOS",Adversaries may execute their own malicious payloads by hijacking environment variables the dynamic linker uses to load shared libraries. During the execution preparation phase of…
T1136.001,Local Account,"Linux, macOS, Windows, Network Devices, Containers, ESXi","Adversaries may create a local account to maintain access to victim systems. Local accounts are those configured by an organization for use by users, remote support, services, or…"
T1674,Input Injection,"Windows, macOS, Linux","Adversaries may simulate keystrokes on a victim’s computer by various means to perform any type of action on behalf of the user, such as launching the command interpreter using…"
T1092,Communication Through Removable Media,"Linux, macOS, Windows",Adversaries can perform command and control between compromised hosts on potentially disconnected networks using removable media to transfer commands from system to…
T1070.001,Clear Windows Event Logs,Windows,Adversaries may clear Windows Event Logs to hide the activity of an intrusion. Windows Event Logs are a record of a computer's alerts and notifications. There are three system-…
T1585.002,Email Accounts,PRE,"Adversaries may create email accounts that can be used during targeting. Adversaries can use accounts created with email providers to further their operations, such as leveraging…"
T1557.001,LLMNR/NBT-NS Poisoning and SMB Relay,Windows,"By responding to LLMNR/NBT-NS network traffic, adversaries may spoof an authoritative source for name resolution to force communication with an adversary controlled system. This…"
T1222,File and Directory Permissions Modification,"Linux, Windows, macOS, ESXi",Adversaries may modify file or directory permissions/attributes to evade access control lists (ACLs) and access protected files.(Citation: Hybrid Analysis Icacls1 June…
T1003.001,LSASS Memory,Windows,"Adversaries may attempt to access credential material stored in the process memory of the Local Security Authority Subsystem Service (LSASS). After a user logs on, the system…"
T1176.002,IDE Extensions,"Linux, macOS, Windows",Adversaries may abuse an integrated development environment (IDE) extension to establish persistent access to victim systems.(Citation: Mnemonic misuse visual studio) IDEs such as…
T1595,Active Scanning,PRE,Adversaries may execute active reconnaissance scans to gather information that can be used during targeting. Active scans are those where the adversary probes victim…
T1027.016,Junk Code Insertion,"Linux, macOS, Windows","Adversaries may use junk code / dead code to obfuscate a malware’s functionality. Junk code is code that either does not execute, or if it does execute, does not change the…"
T1548,Abuse Elevation Control Mechanism,"Linux, macOS, Windows, IaaS, Office Suite, Identity Provider",Adversaries may circumvent mechanisms designed to control elevate privileges to gain higher-level permissions. Most modern systems contain native elevation control mechanisms that…
T1134.002,Create Process with Token,Windows,Adversaries may create a new process with an existing token to escalate privileges and bypass access controls. Processes can be created with the token and resulting security…
T1548.001,Setuid and Setgid,"Linux, macOS",An adversary may abuse configurations where an application has the setuid or setgid bits set in order to get code running in a different (and possibly more privileged) user’s…
T1547.004,Winlogon Helper DLL,Windows,Adversaries may abuse features of Winlogon to execute DLLs and/or executables when a user logs in. Winlogon.exe is a Windows component responsible for actions at logon/logoff as…
T1021.003,Distributed Component Object Model,Windows,Adversaries may use [Valid Accounts](https://attack.mitre.org/techniques/T1078) to interact with remote machines by taking advantage of Distributed Component Object Model (DCOM).…
T1110.003,Password Spraying,"Containers, IaaS, Identity Provider, Linux, Network Devices, Office Suite, SaaS, Windows, macOS, ESXi",Adversaries may use a single or small list of commonly used passwords against many different accounts to attempt to acquire valid account credentials. Password spraying uses one…
T1090.002,External Proxy,"Linux, macOS, Windows, Network Devices, ESXi",Adversaries may use an external proxy to act as an intermediary for network communications to a command and control server to avoid direct connections to their infrastructure.…
T1056.003,Web Portal Capture,"Linux, macOS, Windows","Adversaries may install code on externally facing portals, such as a VPN login page, to capture and transmit credentials of users who attempt to log into the service. For example,…"
T1589.002,Email Addresses,PRE,"Adversaries may gather email addresses that can be used during targeting. Even if internal instances exist, organizations may have public-facing email infrastructure and addresses…"
T1598.004,Spearphishing Voice,PRE,Adversaries may use voice communications to elicit sensitive information that can be used during targeting. Spearphishing for information is an attempt to trick targets into…
T1003.005,Cached Domain Credentials,"Windows, Linux",Adversaries may attempt to access cached domain credentials used to allow authentication to occur in the event a domain controller is unavailable.(Citation: Microsoft - Cached…
T1098.004,SSH Authorized Keys,"Linux, macOS, IaaS, Network Devices, ESXi","Adversaries may modify the SSH <code>authorized_keys</code> file to maintain persistence on a victim host. Linux distributions, macOS, and ESXi hypervisors commonly use key-based…"
T1673,Virtual Machine Discovery,"Linux, macOS, Windows, ESXi","An adversary may attempt to enumerate running virtual machines (VMs) after gaining access to a host or hypervisor. For example, adversaries may enumerate a list of VMs on an ESXi…"
T1590.006,Network Security Appliances,PRE,Adversaries may gather information about the victim's network security appliances that can be used during targeting. Information about network security appliances may include a…
T1546.012,Image File Execution Options Injection,Windows,Adversaries may establish persistence and/or elevate privileges by executing malicious content triggered by Image File Execution Options (IFEO) debuggers. IFEOs enable a developer…
T1218.008,Odbcconf,Windows,Adversaries may abuse odbcconf.exe to proxy execution of malicious payloads. Odbcconf.exe is a Windows utility that allows you to configure Open Database Connectivity (ODBC)…
T1593.002,Search Engines,PRE,Adversaries may use search engines to collect information about victims that can be used during targeting. Search engine services typical crawl online sites to index context and…
T1591.002,Business Relationships,PRE,Adversaries may gather information about the victim's business relationships that can be used during targeting. Information about an organization’s business relationships may…
T1548.005,Temporary Elevated Cloud Access,"IaaS, Office Suite, Identity Provider",Adversaries may abuse permission configurations that allow them to gain temporarily elevated access to cloud resources. Many cloud environments allow administrators to grant user…
T1125,Video Capture,"Windows, macOS, Linux","An adversary can leverage a computer's peripheral devices (e.g., integrated cameras or webcams) or applications (e.g., video call services) to capture video recordings for the…"
T1055.013,Process Doppelgänging,Windows,Adversaries may inject malicious code into process via process doppelgänging in order to evade process-based defenses as well as possibly elevate privileges. Process doppelgänging…
T1016,System Network Configuration Discovery,"Linux, macOS, Windows, Network Devices, ESXi","Adversaries may look for details about the network configuration and settings, such as IP and/or MAC addresses, of systems they access or through information discovery of remote…"
T1578.003,Delete Cloud Instance,IaaS,An adversary may delete a cloud instance after they have performed malicious activities in an attempt to evade detection and remove evidence of their presence. Deleting an…
T1593.003,Code Repositories,PRE,Adversaries may search public code repositories for information about victims that can be used during targeting. Victims may store code in repositories on various third-party…
T1574.005,Executable Installer File Permissions Weakness,Windows,Adversaries may execute their own malicious payloads by hijacking the binaries used by an installer. These processes may automatically execute specific binaries as part of their…
T1546.008,Accessibility Features,Windows,Adversaries may establish persistence and/or elevate privileges by executing malicious content triggered by accessibility features. Windows contains accessibility features that…
T1496.002,Bandwidth Hijacking,"Linux, Windows, macOS, IaaS, Containers","Adversaries may leverage the network bandwidth resources of co-opted systems to complete resource-intensive tasks, which may impact system and/or hosted service availability.…"
T1087,Account Discovery,"Windows, SaaS, IaaS, Linux, macOS, Office Suite, Identity Provider, ESXi","Adversaries may attempt to get a listing of valid accounts, usernames, or email addresses on a system or within a compromised environment. This information can help adversaries…"
T1090,Proxy,"Linux, macOS, Windows, Network Devices, ESXi",Adversaries may use a connection proxy to direct network traffic between systems or act as an intermediary for network communications to a command and control server to avoid…
T1059,Command and Scripting Interpreter,"IaaS, Identity Provider, Linux, Network Devices, Office Suite, Windows, macOS, ESXi","Adversaries may abuse command and script interpreters to execute commands, scripts, or binaries. These interfaces and languages provide ways of interacting with computer systems…"
T1562.006,Indicator Blocking,"Windows, macOS, Linux, ESXi",An adversary may attempt to block indicators or events typically captured by sensors from being gathered and analyzed. This could include maliciously redirecting(Citation:…
T1136.002,Domain Account,"Windows, macOS, Linux",Adversaries may create a domain account to maintain access to victim systems. Domain accounts are those managed by Active Directory Domain Services where access and permissions…
T1564.014,Extended Attributes,"Linux, macOS",Adversaries may abuse extended attributes (xattrs) on macOS and Linux to hide their malicious data in order to evade detection. Extended attributes are key-value pairs of file and…
T1589.003,Employee Names,PRE,Adversaries may gather employee names that can be used during targeting. Employee names be used to derive email addresses as well as to help guide other reconnaissance efforts…
T1482,Domain Trust Discovery,Windows,Adversaries may attempt to gather information on domain trust relationships that may be used to identify lateral movement opportunities in Windows multi-domain/forest…
T1558.001,Golden Ticket,Windows,"Adversaries who have the KRBTGT account password hash may forge Kerberos ticket-granting tickets (TGT), also known as a golden ticket.(Citation: AdSecurity Kerberos GT Aug 2015)…"
T1020,Automated Exfiltration,"Linux, macOS, Windows, Network Devices","Adversaries may exfiltrate data, such as sensitive documents, through the use of automated processing after being gathered during Collection.(Citation: ESET Gamaredon June 2020)…"
T1592.004,Client Configurations,PRE,Adversaries may gather information about the victim's client configurations that can be used during targeting. Information about client configurations may include a variety of…
T1562.007,Disable or Modify Cloud Firewall,IaaS,Adversaries may disable or modify a firewall within a cloud environment to bypass controls that limit access to cloud resources. Cloud firewalls are separate from system firewalls…
T1219.001,IDE Tunneling,"Linux, Windows, macOS",Adversaries may abuse Integrated Development Environment (IDE) software with remote development features to establish an interactive command and control channel on target systems…
T1036.002,Right-to-Left Override,"Linux, macOS, Windows",Adversaries may abuse the right-to-left override (RTLO or RLO) character (U+202E) to disguise a string and/or file name to make it appear benign. RTLO is a non-printing Unicode…
T1588.001,Malware,PRE,"Adversaries may buy, steal, or download malware that can be used during targeting. Malicious software can include payloads, droppers, post-compromise tools, backdoors, packers,…"
T1027.017,SVG Smuggling,"Linux, macOS, Windows","Adversaries may smuggle data and files past content filters by hiding malicious payloads inside of seemingly benign SVG files.(Citation: Trustwave SVG Smuggling 2025) SVGs, or…"
T1542.002,Component Firmware,"Windows, Linux, macOS",Adversaries may modify component firmware to persist on systems. Some adversaries may employ sophisticated means to compromise computer components and install malicious firmware…
T1070,Indicator Removal,"Linux, macOS, Windows, Containers, Network Devices, Office Suite, ESXi",Adversaries may delete or modify artifacts generated within systems to remove evidence of their presence or hinder defenses. Various artifacts may be created by an adversary or…
T1048.001,Exfiltration Over Symmetric Encrypted Non-C2 Protocol,"Linux, macOS, Windows, ESXi",Adversaries may steal data by exfiltrating it over a symmetrically encrypted network protocol other than that of the existing command and control channel. The data may also be…
T1137.001,Office Template Macros,"Windows, Office Suite",Adversaries may abuse Microsoft Office templates to obtain persistence on a compromised system. Microsoft Office contains templates that are part of common Office applications and…
T1583.003,Virtual Private Server,PRE,Adversaries may rent Virtual Private Servers (VPSs) that can be used during targeting. There exist a variety of cloud service providers that will sell virtual machines/containers…
T1213.001,Confluence,SaaS,"Adversaries may leverage Confluence repositories to mine valuable information. Often found in development environments alongside Atlassian JIRA, Confluence is generally used to…"
T1550.003,Pass the Ticket,Windows,"Adversaries may “pass the ticket” using stolen Kerberos tickets to move laterally within an environment, bypassing normal system access controls. Pass the ticket (PtT) is a method…"
T1609,Container Administration Command,Containers,"Adversaries may abuse a container administration service to execute commands within a container. A container administration service such as the Docker daemon, the Kubernetes API…"
T1083,File and Directory Discovery,"Linux, macOS, Windows, Network Devices, ESXi",Adversaries may enumerate files and directories or may search in specific locations of a host or network share for certain information within a file system. Adversaries may use…
T1568,Dynamic Resolution,"Linux, macOS, Windows, ESXi",Adversaries may dynamically establish connections to command and control infrastructure to evade common detections and remediations. This may be achieved by using malware that…
